full_name,H,diameter,albedo,e,a,q,i,n
     1 Ceres (A801 AA),3.34,939.4,0.09,0.0797,2.766,2.545,10.59,0.2143
     2 Pallas (A802 FA),4.12,513.0,0.155,0.2307,2.77,2.131,34.93,0.2138
     3 Juno (A804 RA),5.19,246.596,0.214,0.2557,2.671,1.988,12.99,0.2258
     4 Vesta (A807 FA),3.25,522.77,0.4228,0.0902,2.361,2.148,7.14,0.2716
     5 Astraea (A845 XA),6.95,106.699,0.274,0.1876,2.577,2.093,5.36,0.2383
     6 Hebe (A847 NA),5.62,185.18,0.2679,0.2023,2.426,1.935,14.74,0.2609
     7 Iris (A847 PA),5.7,199.83,0.2766,0.2303,2.386,1.836,5.52,0.2675
     8 Flora (A847 UA),6.62,147.491,0.226,0.1562,2.202,1.858,5.89,0.3017
     9 Metis (A848 HA),6.18,190.0,0.118,0.1225,2.387,2.094,5.58,0.2673
    10 Hygiea (A849 GA),5.65,407.12,0.0717,0.1067,3.151,2.815,3.83,0.1762
    11 Parthenope (A850 JA),6.73,142.887,0.191,0.1009,2.452,2.205,4.64,0.2567
    12 Victoria (A850 RA),7.3,115.087,0.163,0.2197,2.335,1.822,8.37,0.2763
    13 Egeria (A850 VA),6.92,202.636,0.049,0.0846,2.576,2.358,16.53,0.2383
    14 Irene (A851 KA),6.55,152.0,0.159,0.1628,2.588,2.167,9.13,0.2367
    15 Eunomia (A851 OA),5.42,231.689,0.248,0.1878,2.642,2.146,11.76,0.2295
    16 Psyche (A852 FA),6.2,222.0,0.1203,0.1349,2.926,2.531,3.1,0.1969
    17 Thetis (A852 HA),7.91,84.899,0.193,0.1308,2.473,2.149,5.6,0.2534
    18 Melpomene (A852 MA),6.35,139.594,0.181,0.2178,2.296,1.796,10.13,0.2833
    19 Fortuna (A852 QA),7.49,200.0,0.037,0.1581,2.442,2.055,1.57,0.2584
    20 Massalia (A852 SA),6.54,135.68,0.241,0.1436,2.408,2.062,0.71,0.2638
    21 Lutetia (A852 VA),7.48,98.0,0.19,0.1648,2.434,2.033,3.06,0.2595
    22 Kalliope (A852 WA),6.79,167.536,0.166,0.0988,2.909,2.622,13.7,0.1986
    23 Thalia (A852 XA),7.08,107.53,0.2536,0.2313,2.629,2.021,10.11,0.2313
    24 Themis (A853 GA),7.21,198.0,0.067,0.1154,3.144,2.781,0.74,0.1768
    25 Phocaea (A853 GB),7.88,61.054,0.35,0.2538,2.401,1.792,21.6,0.2649
    26 Proserpina (A853 JA),7.48,94.8,0.1966,0.0887,2.655,2.42,3.55,0.2278
    27 Euterpe (A853 VA),7.03,96.0,0.215,0.1716,2.347,1.944,1.58,0.2741
    28 Bellona (A854 EA),7.21,120.9,0.1763,0.149,2.778,2.364,9.42,0.2129
    29 Amphitrite (A854 EB),5.97,189.559,0.216,0.0732,2.555,2.368,6.08,0.2414
    30 Urania (A854 OA),7.57,92.787,0.192,0.1266,2.365,2.066,2.09,0.2709
    31 Euphrosyne (A854 RA),6.83,267.08,0.053,0.2158,3.162,2.48,26.31,0.1753
